id_base_site	id_base_visit	altitude	longitude	latitude	cd_nom	base_site_name	species	visit_date	visit_year	visit_month	pheno_etape	Percentage	fruits_amount	Region	day_of_year
14479	72497	830.0	6.770893	45.931692	97947	Hetre_milieu		2022-04-29	2022	4	Débourrement	10.0		Mont-Blanc Massif	119
13807	72713	820.0	6.767761	45.931304	98921	Frene3	frêne	2022-05-06	2022	5	Feuillaison	10.0		Mont-Blanc Massif	126
13805	72714	820.0	6.76827	45.931047	98921	Frene1	frêne	2022-05-08	2022	5	Feuillaison	10.0		Mont-Blanc Massif	128
13808	72715	820.0	6.77033	45.931841	97947	Hetre1		2022-05-05	2022	5	Débourrement	10.0		Mont-Blanc Massif	125
14459	72716	830.0	6.770968	45.931558	97947	Hetre_haut		2022-05-08	2022	5	Feuillaison	10.0		Mont-Blanc Massif	128
14479	72717	830.0	6.770893	45.931692	97947	Hetre_milieu		2022-05-05	2022	5	Feuillaison	10.0		Mont-Blanc Massif	125
14011	72769	1050.0	6.872787	45.930229	97947	Hetre3		2022-05-08	2022	5	Débourrement	10.0		Mont-Blanc Massif	128
14944	72802	1170.0	6.84264779091	45.8967622625	113703	individu 3		2022-05-10	2022	5	Feuillaison	10.0		Mont-Blanc Massif	130
14943	72846	1170.0	6.84264779091	45.8967622625	125391	individu 2		2022-05-13	2022	5	Floraison	10.0		Mont-Blanc Massif	133
14944	72847	1170.0	6.84264779091	45.8967622625	113703	individu 3		2022-05-13	2022	5	Floraison	10.0		Mont-Blanc Massif	133
13811	72857	820.0	6.769606	45.930688	113432	Epicea2		2022-05-14	2022	5	Feuillaison	10.0		Mont-Blanc Massif	134
13812	72858	820.0	6.769547	45.930711	113432	Epicea3		2022-05-14	2022	5	Feuillaison	10.0		Mont-Blanc Massif	134
13806	72859	820.0	6.769528	45.931319	98921	Frene2	frêne	2022-05-11	2022	5	Feuillaison	10.0		Mont-Blanc Massif	131
13808	72860	820.0	6.77033	45.931841	97947	Hetre1		2022-05-10	2022	5	Feuillaison	10.0		Mont-Blanc Massif	130
14014	72875	1070.0	6.870822	45.931147	124308	Sorbier4	sorbier	2022-05-13	2022	5	Floraison	10.0		Mont-Blanc Massif	133
14015	72876	1050.0	6.8704	45.9313	124308	Sorbier5	sorbier	2022-05-13	2022	5	Floraison	10.0		Mont-Blanc Massif	133
14964	72877	1092.0	6.870474	45.931517	124308	Sorbier6	sorbier	2022-05-13	2022	5	Floraison	10.0		Mont-Blanc Massif	133
11493	72878	1055.0	6.872115	45.93069	98921	Frêne 3		2022-05-13	2022	5	Feuillaison	10.0		Mont-Blanc Massif	133
11489	72879	1050.0	6.872167	45.93051	113432	Epicéa 5		2022-05-13	2022	5	Débourrement	10.0		Mont-Blanc Massif	133
13428	72880	1045.0	6.8721	45.9306	113432	Epicéa 7		2022-05-11	2022	5	Débourrement	10.0		Mont-Blanc Massif	131
14006	72881	1050.0	6.872527	45.929321	97947	Hetre1		2022-05-11	2022	5	Floraison	10.0		Mont-Blanc Massif	131
14006	72882	1050.0	6.872527	45.929321	97947	Hetre1		2022-05-11	2022	5	Feuillaison	10.0		Mont-Blanc Massif	131
14008	72883	1041.0	6.872565	45.929543	98921	Frene5	frêne	2022-05-11	2022	5	Feuillaison	10.0		Mont-Blanc Massif	131
14009	72884	1050.0	6.872613	45.929707	97947	Hetre2		2022-05-11	2022	5	Débourrement	10.0		Mont-Blanc Massif	131
14009	72885	1050.0	6.872613	45.929707	97947	Hetre2		2022-05-14	2022	5	Feuillaison	10.0		Mont-Blanc Massif	134
14009	72886	1050.0	6.872613	45.929707	97947	Hetre2		2022-05-14	2022	5	Floraison	10.0		Mont-Blanc Massif	134
14011	72887	1050.0	6.872787	45.930229	97947	Hetre3		2022-05-12	2022	5	Feuillaison	10.0		Mont-Blanc Massif	132
13428	72889	1045.0	6.8721	45.9306	113432	Epicéa 7		2022-05-16	2022	5	Feuillaison	10.0		Mont-Blanc Massif	136
11019	73014	1080.0	6.981682	45.76689	113432	Epicéa 1		2022-05-22	2022	5	Feuillaison	10.0		Mont-Blanc Massif	142
11020	73015	1080.0	6.98179	45.76694	113432	Epicéa 2		2022-05-22	2022	5	Feuillaison	10.0		Mont-Blanc Massif	142
11021	73016	1080.0	6.981704	45.76662	113432	Epicéa 3		2022-05-22	2022	5	Feuillaison	10.0		Mont-Blanc Massif	142
11489	73085	1050.0	6.872167	45.93051	113432	Epicéa 5		2022-05-19	2022	5	Feuillaison	10.0		Mont-Blanc Massif	139
16114	73192	1850.0	6.706144	45.767803	113432	Epicea2		2022-06-03	2022	6	Feuillaison	10.0		Mont-Blanc Massif	154
16115	73193	1850.0	6.705532	45.767664	113432	Epicea3		2022-06-03	2022	6	Feuillaison	10.0		Mont-Blanc Massif	154
14014	73516	1070.0	6.870822	45.931147	124308	Sorbier4	sorbier	2022-08-18	2022	8	Changement de couleur	10.0		Mont-Blanc Massif	230
14015	73517	1050.0	6.8704	45.9313	124308	Sorbier5	sorbier	2022-08-18	2022	8	Changement de couleur	10.0		Mont-Blanc Massif	230
14003	73520	830.0	6.7707	45.93186	85903	Bouleau_Epicea	bouleau	2022-08-21	2022	8	Changement de couleur	10.0		Mont-Blanc Massif	233
16121	73521	820.0	6.7698	45.9316	124308	Sorbier 2	sorbier	2022-08-21	2022	8	Changement de couleur	10.0		Mont-Blanc Massif	233
16122	73522	820.0	6.769724	45.931677	124308	Sorbier3	sorbier	2022-08-21	2022	8	Changement de couleur	10.0		Mont-Blanc Massif	233
14964	73532	1092.0	6.870474	45.931517	124308	Sorbier6	sorbier	2022-08-25	2022	8	Changement de couleur	10.0		Mont-Blanc Massif	237
11482	73547	1070.0	6.8708	45.9314	85903	Bouleau verruqueux 2	bouleau	2022-08-31	2022	8	Changement de couleur	10.0		Mont-Blanc Massif	243
11484	73548	1070.0	6.8706	45.9315	85903	Bouleau verruqueux 4	bouleau	2022-08-31	2022	8	Changement de couleur	10.0		Mont-Blanc Massif	243
16127	73553	1100.0	6.871207	45.933039	85904	arbre uno		2022-09-02	2022	9	Changement de couleur	10.0		Mont-Blanc Massif	245
11017	73574	1080.0	6.978893	45.76849	85904	Bouleau pubescent 2	bouleau	2022-09-07	2022	9	Changement de couleur	10.0		Mont-Blanc Massif	250
11018	73575	1080.0	6.979043	45.76861	85904	Bouleau pubescent 3	bouleau	2022-09-07	2022	9	Changement de couleur	10.0		Mont-Blanc Massif	250
14014	73576	1070.0	6.870822	45.931147	124308	Sorbier4	sorbier	2022-09-07	2022	9	Changement de couleur	50.0		Mont-Blanc Massif	250
13224	73618	1077.0	6.8704	45.9314	85903	bouleau verruqueux 5	bouleau	2022-09-14	2022	9	Changement de couleur	10.0		Mont-Blanc Massif	257
11482	73619	1070.0	6.8708	45.9314	85903	Bouleau verruqueux 2	bouleau	2022-09-14	2022	9	Changement de couleur	50.0		Mont-Blanc Massif	257
14011	73620	1050.0	6.872787	45.930229	97947	Hetre3		2022-09-14	2022	9	Changement de couleur	10.0		Mont-Blanc Massif	257
14012	73621	1050.0	6.872849	45.930319	105042	Meleze3		2022-09-14	2022	9	Changement de couleur	10.0		Mont-Blanc Massif	257
16122	73628	820.0	6.769724	45.931677	124308	Sorbier3	sorbier	2022-09-16	2022	9	Changement de couleur	50.0		Mont-Blanc Massif	259
14965	73634	840.0	6.771006	45.931491	85903	Bouleau_milieu	bouleau	2022-09-16	2022	9	Changement de couleur	10.0		Mont-Blanc Massif	259
11484	73649	1070.0	6.8706	45.9315	85903	Bouleau verruqueux 4	bouleau	2022-09-21	2022	9	Changement de couleur	50.0		Mont-Blanc Massif	264
14010	73655	1050.0	6.872613	45.929774	105042	Meleze2		2022-09-21	2022	9	Changement de couleur	10.0		Mont-Blanc Massif	264
14015	73656	1050.0	6.8704	45.9313	124308	Sorbier5	sorbier	2022-09-21	2022	9	Changement de couleur	50.0		Mont-Blanc Massif	264
14964	73657	1092.0	6.870474	45.931517	124308	Sorbier6	sorbier	2022-09-21	2022	9	Changement de couleur	50.0		Mont-Blanc Massif	264
14004	73660	850.0	6.771044	45.931244	85903	Bouleau_haut	bouleau	2022-09-24	2022	9	Changement de couleur	10.0		Mont-Blanc Massif	267
11017	73661	1080.0	6.978893	45.76849	85904	Bouleau pubescent 2	bouleau	2022-09-26	2022	9	Changement de couleur	50.0		Mont-Blanc Massif	269
11018	73662	1080.0	6.979043	45.76861	85904	Bouleau pubescent 3	bouleau	2022-09-26	2022	9	Changement de couleur	50.0		Mont-Blanc Massif	269
10955	73701	1037.0	6.873056	45.925833	105042	Mélèze 1	mélèze	2022-09-29	2022	9	Changement de couleur	10.0		Mont-Blanc Massif	272
16121	73707	820.0	6.7698	45.9316	124308	Sorbier 2	sorbier	2022-10-02	2022	10	Changement de couleur	50.0		Mont-Blanc Massif	275
14003	73708	830.0	6.7707	45.93186	85903	Bouleau_Epicea	bouleau	2022-10-02	2022	10	Changement de couleur	50.0		Mont-Blanc Massif	275
14965	73710	840.0	6.771006	45.931491	85903	Bouleau_milieu	bouleau	2022-10-02	2022	10	Changement de couleur	50.0		Mont-Blanc Massif	275
14006	73755	1050.0	6.872527	45.929321	97947	Hetre1		2022-10-02	2022	10	Changement de couleur	10.0		Mont-Blanc Massif	275
14009	73756	1050.0	6.872613	45.929707	97947	Hetre2		2022-10-04	2022	10	Changement de couleur	10.0		Mont-Blanc Massif	277
14012	73757	1050.0	6.872849	45.930319	105042	Meleze3		2022-10-02	2022	10	Changement de couleur	50.0		Mont-Blanc Massif	275
14010	73758	1050.0	6.872613	45.929774	105042	Meleze2		2022-10-04	2022	10	Changement de couleur	50.0		Mont-Blanc Massif	277
14479	73776	830.0	6.770893	45.931692	97947	Hetre_milieu		2022-10-07	2022	10	Changement de couleur	10.0		Mont-Blanc Massif	280
14459	73779	830.0	6.770968	45.931558	97947	Hetre_haut		2022-10-05	2022	10	Changement de couleur	10.0		Mont-Blanc Massif	278
11620	73788	1060.0	6.899189	45.95137	85903	Bouleau verruqueux 2	bouleau	2022-09-26	2022	9	Changement de couleur	10.0		Mont-Blanc Massif	269
11620	73789	1060.0	6.899189	45.95137	85903	Bouleau verruqueux 2	bouleau	2022-10-03	2022	10	Changement de couleur	50.0		Mont-Blanc Massif	276
16132	73790	1060.0	6.89869	45.950702	85903	Bouleau verruqueux 4	bouleau	2022-09-26	2022	9	Changement de couleur	10.0		Mont-Blanc Massif	269
16132	73791	1060.0	6.89869	45.950702	85903	Bouleau verruqueux 4	bouleau	2022-10-03	2022	10	Changement de couleur	50.0		Mont-Blanc Massif	276
16133	73792	1060.0	6.899052	45.950971	85903	Bouleau verruqueux 5	bouleau	2022-09-26	2022	9	Changement de couleur	10.0		Mont-Blanc Massif	269
16133	73793	1060.0	6.899052	45.950971	85903	Bouleau verruqueux 5	bouleau	2022-10-03	2022	10	Changement de couleur	50.0		Mont-Blanc Massif	276
10957	73807	1037.0	6.873362	45.9256	105042	Mélèze 3	mélèze	2022-10-09	2022	10	Changement de couleur	10.0		Mont-Blanc Massif	282
14006	73808	1050.0	6.872527	45.929321	97947	Hetre1		2022-10-11	2022	10	Changement de couleur	50.0		Mont-Blanc Massif	284
14007	73809	1050.0	6.872554	45.929338	105042	Meleze1		2022-10-11	2022	10	Changement de couleur	10.0		Mont-Blanc Massif	284
13808	73834	820.0	6.77033	45.931841	97947	Hetre1		2022-10-09	2022	10	Changement de couleur	10.0		Mont-Blanc Massif	282
14479	73835	830.0	6.770893	45.931692	97947	Hetre_milieu		2022-10-14	2022	10	Changement de couleur	50.0		Mont-Blanc Massif	287
14459	73836	830.0	6.770968	45.931558	97947	Hetre_haut		2022-10-11	2022	10	Changement de couleur	50.0		Mont-Blanc Massif	284
14004	73837	850.0	6.771044	45.931244	85903	Bouleau_haut	bouleau	2022-10-15	2022	10	Changement de couleur	50.0		Mont-Blanc Massif	288
13808	73865	820.0	6.77033	45.931841	97947	Hetre1		2022-10-17	2022	10	Changement de couleur	50.0		Mont-Blanc Massif	290
14009	73868	1050.0	6.872613	45.929707	97947	Hetre2		2022-10-19	2022	10	Changement de couleur	50.0		Mont-Blanc Massif	292
14011	73869	1050.0	6.872787	45.930229	97947	Hetre3		2022-10-19	2022	10	Changement de couleur	50.0		Mont-Blanc Massif	292
13224	73870	1077.0	6.8704	45.9314	85903	bouleau verruqueux 5	bouleau	2022-10-19	2022	10	Changement de couleur	50.0		Mont-Blanc Massif	292
14007	73871	1050.0	6.872554	45.929338	105042	Meleze1		2022-10-19	2022	10	Changement de couleur	50.0		Mont-Blanc Massif	292
10957	73874	1037.0	6.873362	45.9256	105042	Mélèze 3	mélèze	2022-10-25	2022	10	Changement de couleur	50.0		Mont-Blanc Massif	298
11022	73887	1080.0	6.979923	45.76789	105042	Mélèze 1	mélèze	2022-10-29	2022	10	Changement de couleur	10.0		Mont-Blanc Massif	302
11023	73888	1080.0	6.9793	45.76815	105042	Mélèze 2	mélèze	2022-10-29	2022	10	Changement de couleur	10.0		Mont-Blanc Massif	302
11024	73889	1080.0	6.979633	45.76836	105042	Mélèze 3	mélèze	2022-10-29	2022	10	Changement de couleur	10.0		Mont-Blanc Massif	302
11022	73979	1080.0	6.979923	45.76789	105042	Mélèze 1	mélèze	2022-11-12	2022	11	Changement de couleur	50.0		Mont-Blanc Massif	316
11023	73980	1080.0	6.9793	45.76815	105042	Mélèze 2	mélèze	2022-11-12	2022	11	Changement de couleur	50.0		Mont-Blanc Massif	316
11024	73981	1080.0	6.979633	45.76836	105042	Mélèze 3	mélèze	2022-11-12	2022	11	Changement de couleur	50.0		Mont-Blanc Massif	316
10955	74233	1037.0	6.873056	45.925833	105042	Mélèze 1	mélèze	2022-10-21	2022	10	Changement de couleur	50.0		Mont-Blanc Massif	294
13804	74297	820.0	6.769606	45.931752	92606	Noisetier4	noisetier	2023-02-16	2023	2	Floraison	10.0		Mont-Blanc Massif	47
13803	74375	820.0	6.769563	45.931666	92606	Noisetier3	noisetier	2023-02-16	2023	2	Floraison	10.0		Mont-Blanc Massif	47
11499	74449	1080.0	6.871556	45.931083	92606	Noisetier 5	noisetier	2023-02-21	2023	2	Floraison	10.0		Mont-Blanc Massif	52
11496	74450	1070.0	6.870763	45.931039	92606	Noisetier 2	noisetier	2023-02-18	2023	2	Floraison	10.0		Mont-Blanc Massif	49
13802	74481	820.0	6.769692	45.931543	92606	Noisetier2	noisetier	2023-02-23	2023	2	Floraison	10.0		Mont-Blanc Massif	54
14942	74490	1170.0	6.84264779091	45.8967622625	92606	individu 1		2023-02-24	2023	2	Floraison	10.0		Mont-Blanc Massif	55
11498	74496	1053.0	6.870972	45.931111	92606	Noisetier 4	noisetier	2023-02-25	2023	2	Floraison	10.0		Mont-Blanc Massif	56
13801	74514	820.0	6.769686	45.931226	92606	Noisetier1	noisetier	2023-02-26	2023	2	Floraison	10.0		Mont-Blanc Massif	57
13927	74516	820.0	6.767353	45.931385	125391	Lilas3		2023-03-05	2023	3	Débourrement	10.0		Mont-Blanc Massif	64
13926	74624	820.0	6.76768	45.931326	125391	Lilas2		2023-03-16	2023	3	Débourrement	10.0		Mont-Blanc Massif	75
14943	74632	1170.0	6.84264779091	45.8967622625	125391	individu 2		2023-03-22	2023	3	Débourrement	10.0		Mont-Blanc Massif	81
14717	74635	1040.0	6.870398	45.926188	125391	Lilas1		2023-03-15	2023	3	Débourrement	10.0		Mont-Blanc Massif	74
13807	74664	820.0	6.767761	45.931304	98921	Frene3	frêne	2023-03-25	2023	3	Floraison	10.0		Mont-Blanc Massif	84
16121	74677	820.0	6.7698	45.9316	124308	Sorbier 2	sorbier	2023-03-25	2023	3	Débourrement	10.0		Mont-Blanc Massif	84
16122	74678	820.0	6.769724	45.931677	124308	Sorbier3	sorbier	2023-03-25	2023	3	Débourrement	10.0		Mont-Blanc Massif	84
11022	74686	1080.0	6.979923	45.76789	105042	Mélèze 1	mélèze	2023-03-26	2023	3	Débourrement	10.0		Mont-Blanc Massif	85
